Date,Values
1998-11-30,1.47
1998-12-31,1.429166
1999-01-31,1.31125
1999-02-28,1.23125
1999-03-31,1.015
1999-04-30,1.19775
1999-05-31,1.49
1999-06-30,1.3325
1999-07-31,1.399062
1999-08-31,1.316458
1999-09-30,1.091818
1999-10-31,1.061458
1999-11-30,0.901562
1999-12-31,0.908958
2000-01-31,0.924545
2000-02-29,1.02
2000-03-31,1.06909
2000-04-30,1.245
2000-05-31,1.244038
2000-06-30,1.179038
2000-07-31,1.193269
2000-08-31,1.172708
2000-09-30,1.146153
2000-10-31,1.648958
2000-11-30,1.37
2000-12-31,1.253125
2001-01-31,1.385227
2001-02-28,1.570769
2001-03-31,1.821666
2001-04-30,1.87125
2001-05-31,1.978269
2001-06-30,1.897083
2001-07-31,2.088035
2001-08-31,2.05625
2001-09-30,1.406964
2001-10-31,1.348125
2001-11-30,1.279318
2001-12-31,1.345416
2002-01-31,1.242727
2002-02-28,1.247291
2002-03-31,1.171153
2002-04-30,1.059038
2002-05-31,1.042708
2002-06-30,1.030192
2002-07-31,0.975192
2002-08-31,0.963541
2002-09-30,1.031538
2002-10-31,1.0425
2002-11-30,1.119791
2002-12-31,1.081458
2003-01-31,1.040454
2003-02-28,1.091538
2003-03-31,1.090625
2003-04-30,1.091875
2003-05-31,1.11423
2003-06-30,1.198541
2003-07-31,1.170769
2003-08-31,1.173125
2003-09-30,1.184642
2003-10-31,1.205681
2003-11-30,1.296923
2003-12-31,1.432045
2004-01-31,1.713181
2004-02-29,2.135
2004-03-31,2.220416
2004-04-30,2.03625
2004-05-31,1.93
2004-06-30,1.745833
2004-07-31,1.540769
2004-08-31,1.765625
2004-09-30,1.6475
2004-10-31,1.92375
2004-11-30,1.708333
2004-12-31,1.5775
2005-01-31,1.614545
2005-02-28,1.552708
2005-03-31,1.493269
2005-04-30,1.404375
2005-05-31,1.531346
2005-06-30,1.621041
2005-07-31,1.686071
2005-08-31,1.69875
2005-09-30,1.620384
2005-10-31,1.426041
2005-11-30,1.355208
2005-12-31,1.336805
2006-01-31,1.193026
2006-02-28,1.166304
2006-03-31,1.163157
2006-04-30,1.175454
2006-05-31,1.164318
2006-06-30,1.164473
2006-07-31,1.303478
2006-08-31,1.317
2006-09-30,1.320568
2006-10-31,1.2915
2006-11-30,1.2405
2006-12-31,1.22475
2007-01-31,1.218684
2007-02-28,1.321818
2007-03-31,1.3725
2007-04-30,1.4825
2007-05-31,1.501904
2007-06-30,1.491309
2007-07-31,1.446413
2007-08-31,1.378289
2007-09-30,1.301956
2007-10-31,1.359
2007-11-30,1.319027
2007-12-31,1.224642
2008-01-31,1.20875
2008-02-29,1.345375
2008-03-31,1.390454
2008-04-30,1.475
2008-05-31,1.500119
2008-06-30,1.538522
2008-07-31,1.627857
2008-08-31,1.697261
2008-09-30,1.731956
2008-10-31,1.616527
2008-11-30,1.200714
2008-12-31,1.109605
2009-01-31,1.109736
2009-02-28,1.177045
2009-03-31,1.204166
2009-04-30,1.252625
2009-05-31,1.223522
2009-06-30,1.234886
2009-07-31,1.200476
2009-08-31,1.21988
2009-09-30,1.282954
2009-10-31,1.500789
2009-11-30,1.396818
2009-12-31,1.395
2010-01-31,1.356052
2010-02-28,1.46413
2010-03-31,1.545952
2010-04-30,1.589625
2010-05-31,1.637954
2010-06-30,1.77869
2010-07-31,1.99
2010-08-31,2.22619
2010-09-30,2.189523
2010-10-31,1.916052
2010-11-30,1.629605
2010-12-31,2.0345
2011-01-31,2.062236
2011-02-28,2.086304
2011-03-31,1.997
2011-04-30,2.07238
2011-05-31,2.107727
2011-06-30,2.04425
2011-07-31,2.087976
2011-08-31,1.878
2011-09-30,1.829523
2011-10-31,1.735625
2011-11-30,1.611904
2011-12-31,1.581973
2012-01-31,1.423815
2012-02-29,1.487976
2012-03-31,1.413625
2012-04-30,1.353068
2012-05-31,1.47738
2012-06-30,1.583095
2012-07-31,1.768695
2012-08-31,1.880263
2012-09-30,1.906704
2012-10-31,1.791
2012-11-30,1.559
2012-12-31,1.493333
2013-01-31,1.571315
2013-02-28,1.642125
2013-03-31,1.719659
2013-04-30,1.599659
2013-05-31,1.5105
2013-06-30,1.475113
2013-07-31,1.40125
2013-08-31,1.52325
2013-09-30,1.526739
2013-10-31,1.612631
2013-11-30,1.596309
2013-12-31,1.775595
2014-01-31,1.804736
2014-02-28,1.914523
2014-03-31,1.935714
2014-04-30,2.171309
2014-05-31,2.262976
2014-06-30,2.462386
2014-07-31,2.591309
2014-08-31,2.974047
2014-09-30,2.318369
2014-10-31,1.996805
2014-11-30,1.763295
2014-12-31,1.571375
2015-01-31,1.729342
2015-02-28,1.71659
2015-03-31,1.79369
2015-04-30,1.930875
2015-05-31,1.906477
2015-06-30,1.905568
2015-07-31,2.154166
2015-08-31,2.669047
2015-09-30,2.475681
2015-10-31,2.877894
2015-11-30,2.331818
2015-12-31,2.121447
2016-01-31,2.084
2016-02-29,1.960454
2016-03-31,2.056309
2016-04-30,2.055357
2016-05-31,2.263977
2016-06-30,2.273125
2016-07-31,2.177608
2016-08-31,1.995
2016-09-30,1.823928
2016-10-31,1.989875
2016-11-30,2.176309
2016-12-31,2.23925
2017-01-31,2.153421
2017-02-28,2.139239
2017-03-31,2.09921
2017-04-30,2.268409
2017-05-31,2.56875
2017-06-30,2.6195
2017-07-31,2.647282
2017-08-31,2.437
2017-09-30,2.329318
2017-10-31,2.224375
2017-11-30,2.20775
2017-12-31,2.15869
2018-01-31,2.121052
2018-02-28,2.201071
2018-03-31,2.314523
2018-04-30,2.375113
2018-05-31,2.327023
2018-06-30,2.236071
2018-07-31,2.300869
2018-08-31,2.254473
2018-09-30,2.26
2018-10-31,2.248
2018-11-30,2.207125
2018-12-31,2.239843